Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,,Winter Season (may to september),May <20 June <50,May<20 to June>50
1949,null,null,null,null,12.7,69.3,32.3,27.2,95.2,169.2,99.3,54.1,null,,,,1
1950,46.4,123.7,61.2,49.6,44,117.4,154.4,23.5,54.7,164.4,154.3,6.9,1000.5,,394,,
1951,101.9,77.3,32.2,10.9,39,92.6,11.2,44.2,17.8,13.7,9.4,43.6,493.8,,204.8,,
1952,14.2,117.3,136.4,60.1,51.3,40.4,37,122.4,30.4,140,19.8,57.8,827.1,,281.5,,
1953,39.4,208.5,21.1,15,47.5,1.5,14,85.2,18.5,46,65.1,8.1,569.9,,166.7,,
1954,80.3,158.1,6.1,2.1,16.8,32,37.1,47.5,23.2,212,178.9,86.1,880.2,,156.6,1,
1955,83.6,242.4,3.3,45.7,38.4,55,45.3,37.7,26.3,103.4,50.5,115.3,846.9,,202.7,,
1956,153.4,320.1,30.5,74.3,127,91.8,44.6,15.7,52.5,77.3,27.9,64.8,1079.9,,331.6,,
1957,151.7,75.6,83.9,36.8,0,49.7,11.6,44,10.9,35.2,7.2,48.2,554.8,,116.2,1,
1958,72.1,205.1,64.9,25.2,54.1,44.3,20.3,43,108,72.7,26.2,134.6,870.5,,269.7,,
1959,135.3,102.7,192.5,22.7,50.3,13.5,87.1,0,39.7,76,125.2,276.5,1121.5,,190.6,,
1960,111.6,37.5,15,31.1,79.3,26,76.3,42.5,35.1,73,67.2,59.7,654.3,,259.2,,
1961,50,90.1,80.6,28,16,20,53.6,57.4,8.8,46.7,170.7,94.3,716.2,,155.8,1,
1962,204.9,75,72.2,62.7,35,6.7,68.2,47.7,50.4,61.3,36.1,163.2,883.4,,208,,
1963,75.7,25.4,75.2,22.3,142.7,44,13.1,77.3,12.3,31.1,132.2,47.8,699.1,,289.4,,
1964,95,27.3,74.5,70.1,82.9,21.1,75.8,32,82,117.9,50.7,45.6,774.9,,293.8,,
1965,14.1,14.6,32,27.3,5.9,20.1,12.8,20.6,13.7,44,40.1,168.2,413.4,,73.1,1,
1966,8.4,69.2,88.2,38.8,6.6,42.7,17.8,147.5,20.2,71.3,169.2,79.8,759.7,,234.8,1,
1967,24,13.5,144.8,4.3,42.8,49.3,18.8,23.6,26.7,122.1,9.2,38.4,517.5,,161.2,,
1968,146.1,30.3,48.7,19.1,115.5,7.2,56.2,58.6,44.5,44.5,28.8,52.1,651.6,,282,,
1969,147.3,43.4,39.9,43.7,118,20.1,36.4,24.6,52.9,117.4,133.8,54.9,832.4,,252,,
1970,133.6,41,25.4,69.6,25.5,39.9,0.6,27.3,234.4,19.1,82.5,285.6,984.5,,327.7,,
1971,155.5,134.1,7.4,13.5,10.4,4.6,150.7,132.7,69.8,75.7,89.6,101.6,945.6,,368.2,1,
1972,128.4,47.2,22.8,52.9,18.1,5.9,5.4,52.2,42.4,208.9,106.7,96.5,787.4,,124,1,
1973,69.6,159.6,29,0.5,37.6,37.6,44.6,51.6,71.4,120.7,113.4,177.5,913.1,,242.8,,
1974,122.6,31.4,23.8,48.4,45.2,40.1,24.7,59.7,32.3,52.1,139,38.8,658.1,,202,,
1975,75.2,210.8,190,31,0.2,55.6,48.9,26.2,22.9,158.5,63.4,98.4,981.1,,153.8,,1
1976,172.8,341.6,65.2,3,33.6,81.7,46.8,15.9,40.6,61.4,97.8,26.9,987.3,,218.6,,
1977,81.6,155.4,106.2,60.8,143.6,33.2,5,23.6,40.4,37.2,51.3,67.6,805.9,,245.8,,
1978,219,33.4,76.8,22.4,109.2,120.5,94,42.4,107.6,22.6,101,165.5,1114.4,,473.7,,
1979,32.4,41.8,134.8,23,84.6,55.8,15.6,16.8,49,120.6,82.8,17,674.2,,221.8,,
1980,83.9,40.6,15.4,7.1,95.6,17.2,25.4,12.4,3.8,59.8,17.2,155.9,534.3,,154.4,,
1981,20.8,54.7,13.8,20.2,75.4,100.8,83.8,18.8,40,60,71,60.8,620.1,,318.8,,
1982,87.4,72.2,165.2,11.8,21,3.8,29.6,0,23.9,54.2,6.6,117.6,593.3,,78.3,,
1983,107,39.4,67.8,149.5,185.6,59.8,65.6,64,79,132.7,94.6,94.6,1139.6,,454,,
1984,240.5,80.5,52.1,61.4,7.8,14.7,187.3,30.4,45,61.8,106.5,99,987,,285.2,1,
1985,32.4,98.6,47.6,77.6,30.3,25,51.8,84.4,40.5,55.6,100.4,111,755.2,,232,,
1986,78.4,58,29.4,1,51,2.8,105,59.4,56.8,60.4,59.6,33.2,595,,275,,
1987,147.4,70,166.2,12.6,56.2,33,27.2,119.2,13.4,61.2,89.2,125.2,920.8,,249,,
1988,131.6,87.6,23.8,211,52.4,19.4,73.8,83.6,70.2,26.6,42,76,898,,299.4,,
1989,40.4,25.6,109.7,72,29.3,79.6,79.2,7.4,0.2,84.6,129.8,113.8,771.6,,195.7,,
1990,95.6,92.6,1.6,182.4,79.2,50.4,66.6,25.6,31.8,50.8,19.6,63.8,760,,253.6,,
1991,184.4,153.2,49,0.6,100.4,31.6,60,0,11.4,20,70.8,174,855.4,,203.4,,
1992,56.2,125.4,79.2,63,32.6,8.2,46.6,76.2,39.6,52.8,120.2,133.6,833.6,,203.2,,
1993,138.4,73.8,15.4,0.8,37.4,68.2,72,54.8,58.2,87.2,26.6,82.6,715.4,,290.6,,
1994,29.8,174.6,147.4,22.8,1,17.4,4.4,26,26.2,21.8,60.2,75.4,607,,75,1,
1995,172.6,120.8,50.1,4.5,40.6,76.4,20.9,0,97.3,64.2,196,99,942.4,,235.2,,
1996,207.8,72.2,37,13,89.4,null,null,null,113.4,30.6,85.6,126.1,null,,202.8,,
1997,114.7,94.8,38.8,1.2,39.4,75.6,7.8,null,null,null,83.2,null,null,,122.8,,
1998,84.8,106.8,33,84.5,50.6,66.8,177.4,87.6,114.6,90.6,64.6,123,1084.3,,497,,
1999,94.2,83.8,182.8,47.8,11.2,41.2,37,60.2,33.6,182,90.6,78.6,943,,183.2,1,
2000,59.4,41.4,134.2,35.2,71,7.4,26.8,34.8,14.8,110.6,234,133.2,902.8,,154.8,,
2001,64.4,92.2,122.4,31.6,46.8,14.8,67.4,21,32.4,68.6,220,60.6,842.2,,182.4,,
2002,90.8,80.6,115,4.8,5.6,19.8,3.6,20.8,45,37.4,72,131.6,627,,94.8,1,
2003,20.8,151.2,114.8,97.5,3.8,34.2,29,36.4,3.6,121.2,36.2,106.4,755.1,,107,1,
2004,180,79.8,20.8,34.2,23.2,15,33.6,41.6,80,59.8,93.6,219.2,880.8,,193.4,,
2005,81.6,38.8,35.4,3,12.4,143.4,21,27.4,84.4,60.4,93.2,108.2,709.2,,288.6,,1
2006,160,89.6,39,20.6,3,82.8,51,21.2,41.2,17.8,76.4,44.4,647,,199.2,,1
2007,51.2,150,89.8,59,38.2,90.4,12.8,69.2,3.4,84.8,100.4,144.4,893.6,,214,,
2008,133.2,145.8,0.2,9.4,18,60.8,49.6,9.4,61.2,42.2,211.8,74.4,816,,199,,1
2009,41.4,89.2,34,50.2,26.4,30.2,19.8,9.2,45.4,47,19.4,127.2,539.4,,131,,
2010,87.2,50.4,49.8,5.6,67.6,53.6,85.6,79.4,95.2,85.2,96.6,136.6,892.8,,381.4,,
2011,102,107.8,108.6,64.6,72.8,50.4,5.2,71.2,56,77.6,223.2,150.6,1090,,255.6,,
2012,63.6,126,19.6,52.6,40,14.8,103.4,5.8,39.6,33.8,53.2,141,693.4,,203.6,,
2013,139.6,91.6,76.8,25,22.4,80.4,27,14.2,35.6,25.8,85.6,36.8,660.8,,179.6,,
2014,41.2,26,141.8,23.6,20,60,11.2,59,22.6,30.4,36.2,113.4,585.4,,172.8,,
2015,189.6,52.2,77,112.4,55.6,45.2,63.8,54.2,24,38,158,123,993,,242.8,,
2016,101,1.2,21.2,8.4,42.4,128,49,82,148.2,89.4,53.4,115.4,839.6,,449.6,,
2017,158.6,97.4,252,53,62,70.6,17.4,9.6,8.2,169.8,79.8,94.2,1072.6,,167.8,,
2018,23.2,73.4,53,20.8,0,4.8,46.6,73.2,55.2,57.6,86.4,41.6,535.8,,179.8,1,
2019,55.3,13.2,90.6,2.6,15.4,19,10.8,2.8,1.2,31.4,10.8,6,259.1,,49.2,1,
2020,135.5,224.8,88.9,39.3,50,35.6,33.8,30.4,32.2,71.2,17.8,175.2,934.7,,182,,
2021,85.2,140.2,261.4,31,47.4,120.8,129,84.6,47.4,65.2,202.4,98.4,1313,,429.2,,
2022,49,76.4,180.8,21,96,null,null,null,null,null,null,null,null,,,,
